what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1312148821903
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312148821903
java.specification.version,sysinfo,,,"1.6",1312148821903
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312148821903
java.version,sysinfo,,,"1.6.0_26",1312148821903
java.vm.info,sysinfo,,,"mixed mode",1312148821903
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312148821903
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312148821903
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312148821903
java.vm.specification.version,sysinfo,,,"1.0",1312148821903
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312148821903
java.vm.version,sysinfo,,,"20.1-b02",1312148821903
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1312148824294
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1312148824356
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1312148824387
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1312148824403
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1312148857451
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1312148858341
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1312148858466
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1312148858560
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1312148858904
started,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1312148859060
error,log,,,"A workspace crash was detected. The previous session did not exit normally. Not using saved taglib indexes.",1312148859154
started,bundle,org.eclipse.jst.jsp.core,1.2.204.v201001270045,"org.eclipse.jst.jsp.core",1312148859169
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1312148859951
