what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1311731437409
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1311731437831
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1311731441409
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: PocketCal20",1311731442003
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731442566
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731444738
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1311731451894
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731456769
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731465035
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1311731465050
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731479879
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731508957
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731512145
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731774041
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731774166
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731776166
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731776197
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731778900
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311731779025
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1311731780760
stopped,bundle,org.eclipse.rse.importexport,1.2.1.v200909160005,"org.eclipse.rse.importexport",1311731780760
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.0.v200905272300,"org.eclipse.rse.subsystems.shells.telnet",1311731780760
stopped,bundle,org.eclipse.rse.useractions,1.1.100.v200905272300,"org.eclipse.rse.useractions",1311731780760
stopped,bundle,org.eclipse.rse.shells.ui,3.0.100.v200905272300,"org.eclipse.rse.shells.ui",1311731780760
stopped,bundle,org.eclipse.rse.files.ui,3.1.1.v200908061445,"org.eclipse.rse.files.ui",1311731780760
