what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312761013489
java.version,sysinfo,,,"1.6.0_26",1312761013489
java.vm.info,sysinfo,,,"mixed mode",1312761013489
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312761013489
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312761013489
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312761013489
java.vm.specification.version,sysinfo,,,"1.0",1312761013489
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312761013489
java.vm.version,sysinfo,,,"20.1-b02",1312761013489
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1312761013489
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1312761014567
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1312761015239
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1312761015286
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312761016411
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1312761017223
started,bundle,org.eclipse.draw2d,3.5.2.v20091126-1908,"org.eclipse.draw2d",1312761021801
