what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311727561804
java.specification.version,sysinfo,,,"1.6",1311727561804
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1311727561804
java.version,sysinfo,,,"1.6.0_26",1311727561804
java.vm.info,sysinfo,,,"mixed mode",1311727561804
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1311727561804
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1311727561804
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311727561804
java.vm.specification.version,sysinfo,,,"1.0",1311727561804
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1311727561804
java.vm.version,sysinfo,,,"20.1-b02",1311727561804
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1311727561835
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1311727563382
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311727566882
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311727574507
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1311727577976
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311727586476
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311727658477
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1311727658509
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1311727659774
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1311727687665
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1311727687728
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1311727687728
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1311727688056
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1311727697666
