what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to load properties file for project 'ArroyoRemote'",1311729005222
error,log,,,"Failed to load properties file for project 'ArroyoRemote'",1311729005222
error,log,,,"Failed to load properties file for project 'ArroyoRemote'",1311729005363
error,log,,,"Failed to load properties file for project 'ArroyoRemote'",1311729005363
error,log,,,"Failed to load properties file for project 'ArroyoRemote'",1311729005363
error,log,,,"Failed to load properties file for project 'ArroyoRemote'",1311729011988
error,log,,,"java.lang.NullPointerException",1311729012003
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311729012019
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.properties",1311729012035
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAutomatically",1311729017785
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAutomatically",1311729021519
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAutomatically",1311729025222
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildProject",1311729027957
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAutomatically",1311729030566
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311729034691
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311729036035
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311729036207
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1311729037738
stopped,bundle,org.eclipse.rse.importexport,1.2.1.v200909160005,"org.eclipse.rse.importexport",1311729037785
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.0.v200905272300,"org.eclipse.rse.subsystems.shells.telnet",1311729037801
stopped,bundle,org.eclipse.rse.useractions,1.1.100.v200905272300,"org.eclipse.rse.useractions",1311729037801
stopped,bundle,org.eclipse.rse.shells.ui,3.0.100.v200905272300,"org.eclipse.rse.shells.ui",1311729037816
stopped,bundle,org.eclipse.rse.files.ui,3.1.1.v200908061445,"org.eclipse.rse.files.ui",1311729037848
stopped,bundle,org.eclipse.rse.processes.ui,3.0.101.v200907301400,"org.eclipse.rse.processes.ui",1311729037848
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1311729037910
