what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339064692
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273339065146
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273339065286
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273339069302
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339080224
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339080333
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339086442
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339086567
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339089661
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339089724
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339111896
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339118880
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339118927
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339122364
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339122521
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339123442
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339133083
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339136958
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339152333
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339269317
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273339273458
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1273339281552
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273339282177
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273339284583
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339287427
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339300364
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273339300442
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273339300521
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273339304724
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339320552
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339320692
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339324708
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339324833
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339328083
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339328208
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339332224
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339332333
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339337646
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339337771
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1273339343458
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339347614
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339355677
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273339374427
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339377521
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273339381333
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339381380
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273339381396
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339383208
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339875583
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273339884177
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339884239
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273339885661
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273339885708
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273339885708
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273339886942
