what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273358507294
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273358509669
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273358808403
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273358809450
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273359790388
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273359812575
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273359888966
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273359912106
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360101653
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273360104075
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360189044
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360307700
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360314872
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360319981
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360333184
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360390263
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360406075
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360411809
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360447591
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360472403
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360476450
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360479575
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360487388
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360492153
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273360496528
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1273360524856
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360542888
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360543716
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360544247
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360544841
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360548466
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360548934
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360548966
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360548997
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360549028
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360549059
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360549091
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360549122
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360549153
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360549184
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360549216
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360549247
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360549278
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360549309
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1273360554356
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1273360555669
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1273360566809
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360568372
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360569013
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360569200
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360569419
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360569700
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360570059
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360570528
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360570794
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360571044
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360571309
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360571559
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360571856
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360572106
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360572591
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360573059
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360577075
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360582919
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1273360584216
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360626356
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360749044
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360753184
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360754356
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1273360754372
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360754450
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360755763
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360756075
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360759606
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360768341
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360814747
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360817966
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360821653
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1273360855942
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360879667
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360945295
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1273360949249
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273360953860
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273361790138
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273361816935
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273362129001
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1273362155048
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273362157970
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1273362162142
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273362162220
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1273362162283
